ID;name;country;city;region;description
f1a2b3c4-d5e6-4501-9501-110000000001;Paris;France;Paris;Île-de-France;Whisk away to the City of Light for an unforgettable romantic escape. Wander hand in hand along the Seine, savor candlelit dinners at charming bistros, and capture timeless memories beneath the Eiffel Tower. Includes a private Louvre tour, a Seine river cruise at sunset, and a cooking class in Montmartre.
f1a2b3c4-d5e6-4501-9501-110000000002;Tokyo;Japan;Tokyo;Kanto;Experience Japan at its most magical during peak cherry blossom season. Wander vibrant neighborhoods, serene temple gardens, and iconic hanami spots including Ueno Park and Shinjuku Gyoen. Includes a traditional tea ceremony, the historic Asakusa district, and a day trip to Mount Fuji.
f1a2b3c4-d5e6-4501-9501-110000000003;New York;United States;New York;New York;Celebrate the holiday season in the city that never sleeps. Enjoy a Broadway show, ice skating at Rockefeller Center, and the dazzling Fifth Avenue window displays, plus world-class museums and panoramic skyline views from the Top of the Rock.
f1a2b3c4-d5e6-4501-9501-110000000004;Dubai;United Arab Emirates;Dubai;Dubai;Discover the thrilling contrast of Dubai's glittering skyline and vast golden deserts. Combines a dune bashing safari, camel riding at sunset, an evening at a traditional Bedouin camp, the futuristic Burj Khalifa, the Gold Souk, and Jumeirah Beach.
f1a2b3c4-d5e6-4501-9501-110000000005;Singapore;Singapore;Singapore;;Immerse yourself in Singapore's fusion of nature and futuristic architecture. Features the Gardens by the Bay light show, a rooftop infinity pool at Marina Bay Sands, guided food tours through Chinatown and Little India, and Sentosa Island.
f1a2b3c4-d5e6-4501-9501-110000000006;London;United Kingdom;London;England;Step into centuries of history on this heritage tour. Visit the Tower of London, Westminster Abbey, and Buckingham Palace's State Rooms, cruise the Thames, explore the British Museum, and savor traditional afternoon tea.
f1a2b3c4-d5e6-4501-9501-110000000007;Sydney;Australia;Sydney;New South Wales;Discover the natural beauty and vibrant energy of Sydney. Climb the Sydney Harbour Bridge, tour the Opera House, relax on Bondi Beach, and venture to the Blue Mountains for breathtaking views and wildlife encounters.
f1a2b3c4-d5e6-4501-9501-110000000008;Bangkok;Thailand;Bangkok;;Dive into the vibrant flavors and bustling energy of Thailand's capital. Sample authentic street food across Chinatown, explore the ornate Grand Palace, cruise the Chao Phraya River, and visit a bustling floating market.
f1a2b3c4-d5e6-4501-9501-110000000009;Rome;Italy;Rome;Lazio;Walk through thousands of years of history. Explore the Colosseum, the ancient Roman Forum, the Sistine Chapel and Vatican Museums, toss a coin into the Trevi Fountain, and take a day trip to the ruins of Pompeii.
f1a2b3c4-d5e6-4501-9501-110000000010;Bali;Indonesia;Bali;;Unwind in paradise on the pristine sands of Kuta and Nusa Dua, enjoy sunrise yoga overlooking rice terraces in Ubud, snorkel among vibrant coral reefs, and visit ancient temples like Tanah Lot and Uluwatu.
