ID;name;budget;currency_code;description;startsAt;endsAt;traveller_ID
d3e4f5a6-b7c8-4301-9301-ef1234590001;Paris Romance Tour;8200.00;EUR;Whisk away to the City of Light for an unforgettable romantic escape. Wander hand in hand along the Seine, savor candlelit dinners at charming bistros, and capture timeless memories beneath the Eiffel Tower. This curated tour blends iconic sightseeing with intimate experiences, including a private Louvre tour, a Seine river cruise at sunset, and a cooking class in Montmartre. Perfect for couples seeking elegance, culture, and unforgettable moments in one of the world's most beautiful cities.;2026-10-05T09:00:00Z;2026-10-12T18:00:00Z;a1b2c3d4-e5f6-4001-8001-ef1234560001
d3e4f5a6-b7c8-4301-9301-ef1234590002;Tokyo Cherry Blossom Trip;6400.00;JPY;Experience Japan at its most magical during peak cherry blossom season. This eight-day journey takes you through Tokyo's vibrant neighborhoods, serene temple gardens, and iconic hanami spots including Ueno Park and Shinjuku Gyoen. Enjoy a traditional tea ceremony, explore the historic Asakusa district, and take a day trip to Mount Fuji for breathtaking views framed by blooming sakura trees. A perfect blend of modern city energy and timeless Japanese tradition awaits every traveller on this unforgettable spring adventure.;2027-03-20T09:00:00Z;2027-03-28T18:00:00Z;a1b2c3d4-e5f6-4002-8002-ef1234560002
d3e4f5a6-b7c8-4301-9301-ef1234590003;New York City Lights Getaway;12500.00;USD;Celebrate the holiday season in the city that never sleeps. This festive getaway includes a Broadway show, ice skating at Rockefeller Center, and a stroll past the dazzling Fifth Avenue window displays. Explore world-class museums, indulge in diverse culinary experiences from food trucks to fine dining, and take in panoramic skyline views from the Top of the Rock. Six unforgettable days packed with holiday cheer, iconic landmarks, and the electric energy that only New York City can deliver.;2026-12-20T09:00:00Z;2026-12-26T18:00:00Z;a1b2c3d4-e5f6-4003-8003-ef1234560003
d3e4f5a6-b7c8-4301-9301-ef1234590004;Dubai Desert Adventure;9800.00;USD;Discover the thrilling contrast of Dubai's glittering skyline and vast golden deserts. This five-day adventure combines a heart-pounding dune bashing safari, camel riding at sunset, and an evening under the stars at a traditional Bedouin camp. Explore the futuristic Burj Khalifa, shop in the historic Gold Souk, and relax at pristine Jumeirah Beach. A perfectly balanced trip for travellers seeking luxury, adrenaline, and a genuine taste of Emirati culture in one unforgettable Middle Eastern getaway.;2026-11-10T09:00:00Z;2026-11-15T18:00:00Z;a1b2c3d4-e5f6-4004-8004-ef1234560004
d3e4f5a6-b7c8-4301-9301-ef1234590005;Singapore Skyline Escape;7300.00;USD;Immerse yourself in Singapore's dazzling fusion of nature and futuristic architecture. This six-day escape features the iconic Gardens by the Bay light show, a rooftop infinity pool experience at Marina Bay Sands, and guided food tours through Chinatown and Little India. Explore Sentosa Island's beaches and attractions, and enjoy a river cruise past the illuminated skyline. Ideal for travellers wanting a seamless mix of urban sophistication, world-class cuisine, and lush tropical greenery in one compact city.;2027-01-15T09:00:00Z;2027-01-21T18:00:00Z;a1b2c3d4-e5f6-4005-8005-ef1234560005
d3e4f5a6-b7c8-4301-9301-ef1234590006;London Heritage Tour;15200.00;GBP;Step into centuries of history on this immersive heritage tour. Visit the Tower of London, marvel at Westminster Abbey, and enjoy a private tour of Buckingham Palace's State Rooms. Cruise the Thames, explore the British Museum's priceless collections, and savor traditional afternoon tea in a historic hotel. This nine-day journey balances royal grandeur with cozy pub culture and vibrant West End theatre, offering a rich experience for history lovers and first-time visitors to the United Kingdom.;2026-10-25T09:00:00Z;2026-11-03T18:00:00Z;a1b2c3d4-e5f6-4006-8006-ef1234560006
d3e4f5a6-b7c8-4301-9301-ef1234590007;Sydney Harbour Explorer;18500.00;AUD;Discover the natural beauty and vibrant energy of Sydney on this fourteen-day explorer package. Climb the iconic Sydney Harbour Bridge, tour the world-famous Opera House, and relax on the golden sands of Bondi Beach. Venture beyond the city to the Blue Mountains for breathtaking views and wildlife encounters, then sail the harbour at sunset. This extended itinerary offers a balance of coastal relaxation, outdoor adventure, and cosmopolitan city life in one of the world's most scenic destinations.;2027-02-01T09:00:00Z;2027-02-15T18:00:00Z;a1b2c3d4-e5f6-4007-8007-ef1234560007
d3e4f5a6-b7c8-4301-9301-ef1234590008;Bangkok Street Food Safari;3200.00;USD;Dive into the vibrant flavors and bustling energy of Thailand's capital on this five-day culinary safari. Sample authentic street food across Chinatown, explore the ornate Grand Palace, and cruise the Chao Phraya River past glittering temples. Visit a bustling floating market, take a Thai cooking class, and unwind with a traditional massage. Perfect for food lovers and culture seekers alike, this trip captures the true spirit of Bangkok through its markets, temples, and unforgettable local cuisine.;2026-11-20T09:00:00Z;2026-11-25T18:00:00Z;a1b2c3d4-e5f6-4008-8008-ef1234560008
d3e4f5a6-b7c8-4301-9301-ef1234590009;Rome Ancient Wonders Tour;11400.00;EUR;Walk through thousands of years of history on this immersive ten-day Roman adventure. Explore the mighty Colosseum, wander the ancient Roman Forum, and marvel at the artistry of the Sistine Chapel and Vatican Museums. Toss a coin into the Trevi Fountain, savor authentic pasta and gelato in Trastevere, and take a day trip to the ruins of Pompeii. This journey combines timeless architecture, world-renowned art, and unforgettable Italian cuisine into one truly memorable European experience.;2027-04-10T09:00:00Z;2027-04-20T18:00:00Z;a1b2c3d4-e5f6-4009-8009-ef1234560009
d3e4f5a6-b7c8-4301-9301-ef1234590010;Bali Beach Getaway;4800.00;USD;Unwind in paradise on this eight-day beach getaway spanning the New Year holiday. Relax on the pristine sands of Kuta and Nusa Dua, enjoy sunrise yoga overlooking rice terraces in Ubud, and snorkel among vibrant coral reefs. Visit ancient temples like Tanah Lot and Uluwatu, indulge in traditional Balinese spa treatments, and celebrate the New Year with a beachfront fireworks celebration. A perfect blend of relaxation, culture, and celebration awaits on this tropical island escape.;2026-12-27T09:00:00Z;2027-01-04T18:00:00Z;a1b2c3d4-e5f6-4010-8010-ef1234560010
