ID;traveller_ID;destination_ID;travelFrom;travelTo;notes
d3e4f5a6-b7c8-4301-9301-ef1234590001;a1b2c3d4-e5f6-4001-8001-ef1234560001;f1a2b3c4-d5e6-4501-9501-110000000001;2026-10-05;2026-10-12;Paris Romance Tour — budget 8200.00 EUR.
d3e4f5a6-b7c8-4301-9301-ef1234590002;a1b2c3d4-e5f6-4002-8002-ef1234560002;f1a2b3c4-d5e6-4501-9501-110000000002;2027-03-20;2027-03-28;Tokyo Cherry Blossom Trip — budget 6400.00 JPY.
d3e4f5a6-b7c8-4301-9301-ef1234590003;a1b2c3d4-e5f6-4003-8003-ef1234560003;f1a2b3c4-d5e6-4501-9501-110000000003;2026-12-20;2026-12-26;New York City Lights Getaway — budget 12500.00 USD.
d3e4f5a6-b7c8-4301-9301-ef1234590004;a1b2c3d4-e5f6-4004-8004-ef1234560004;f1a2b3c4-d5e6-4501-9501-110000000004;2026-11-10;2026-11-15;Dubai Desert Adventure — budget 9800.00 USD.
d3e4f5a6-b7c8-4301-9301-ef1234590005;a1b2c3d4-e5f6-4005-8005-ef1234560005;f1a2b3c4-d5e6-4501-9501-110000000005;2027-01-15;2027-01-21;Singapore Skyline Escape — budget 7300.00 USD.
d3e4f5a6-b7c8-4301-9301-ef1234590006;a1b2c3d4-e5f6-4006-8006-ef1234560006;f1a2b3c4-d5e6-4501-9501-110000000006;2026-10-25;2026-11-03;London Heritage Tour — budget 15200.00 GBP.
d3e4f5a6-b7c8-4301-9301-ef1234590007;a1b2c3d4-e5f6-4007-8007-ef1234560007;f1a2b3c4-d5e6-4501-9501-110000000007;2027-02-01;2027-02-15;Sydney Harbour Explorer — budget 18500.00 AUD.
d3e4f5a6-b7c8-4301-9301-ef1234590008;a1b2c3d4-e5f6-4008-8008-ef1234560008;f1a2b3c4-d5e6-4501-9501-110000000008;2026-11-20;2026-11-25;Bangkok Street Food Safari — budget 3200.00 USD.
d3e4f5a6-b7c8-4301-9301-ef1234590009;a1b2c3d4-e5f6-4009-8009-ef1234560009;f1a2b3c4-d5e6-4501-9501-110000000009;2027-04-10;2027-04-20;Rome Ancient Wonders Tour — budget 11400.00 EUR.
d3e4f5a6-b7c8-4301-9301-ef1234590010;a1b2c3d4-e5f6-4010-8010-ef1234560010;f1a2b3c4-d5e6-4501-9501-110000000010;2026-12-27;2027-01-04;Bali Beach Getaway — budget 4800.00 USD.
d3e4f5a6-b7c8-4301-9301-ef1234590011;a1b2c3d4-e5f6-4001-8001-ef1234560001;f1a2b3c4-d5e6-4501-9501-110000000004;2027-05-05;2027-05-11;Dubai Luxury Retreat — budget 21000.00 INR.
d3e4f5a6-b7c8-4301-9301-ef1234590012;a1b2c3d4-e5f6-4002-8002-ef1234560002;f1a2b3c4-d5e6-4501-9501-110000000001;2027-06-14;2027-06-17;Paris Art & Culture Weekend — budget 5600.00 INR.
d3e4f5a6-b7c8-4301-9301-ef1234590013;a1b2c3d4-e5f6-4005-8005-ef1234560005;f1a2b3c4-d5e6-4501-9501-110000000002;2027-03-01;2027-03-06;Tokyo Neon Nights Experience — budget 9200.00 EUR.
d3e4f5a6-b7c8-4301-9301-ef1234590014;a1b2c3d4-e5f6-4008-8008-ef1234560008;f1a2b3c4-d5e6-4501-9501-110000000005;2026-10-15;2026-10-22;Singapore Gardens & Gastronomy — budget 13800.00 GBP.
d3e4f5a6-b7c8-4301-9301-ef1234590015;a1b2c3d4-e5f6-4009-8009-ef1234560009;f1a2b3c4-d5e6-4501-9501-110000000003;2027-07-01;2027-07-22;New York Broadway & Shopping Spree — budget 22500.00 AUD.
